"Antibody.Cell.Line","Antigen","Valency_original","Valency_multi","kon","mono.tri_kd","mono.tri_KD","mono.tri_hf","multi_hf","calcium_flux","hf","activation","val","type","binding"
"CH31 ","GT1.2 SOSIP",3,3,218000,0.01224,"56.25",0.94,NA,122.4,0.94,1,0,"trimer","CD4"
"CH31 ","TFv4.1 Trimer CHO",3,3,53200,0.0004381,"8.234",26.37,NA,149.5,26.37,1,0,"trimer","CD4"
"CH31 ","CH848 DS DT SOSIP",3,3,2541,5.22e-06,"2.05",2215.24,NA,3,2215.24,0,0,"trimer","CD4"
"CH31 ","TFv4.1 Trimer 293F",3,3,10510,0.000724,"68.90",15.95,NA,85.5,15.95,1,0,"trimer","CD4"
"CH235UCA","HV1301288_G458Y",3,3,18220,0.01016,"557.3",1.14,NA,50.68,1.14,1,0,"trimer","CD4"
"CH235UCA","HV1302590",3,3,53760,0.0008987,"16.7",12.85,NA,56.16,12.85,1,0,"trimer","CD4"
"CH235UCA","CH505M5v4.1 SOSIP 293F",3,3,7173,0.0336,"4700",0.34,NA,20.79,0.34,1,0,"trimer","CD4"
"CH235UCA","CH505M5v4.1 G458Y SOSIP GnTI-",3,3,48650,0.01495,"307.3",0.77,NA,48.83,0.77,1,0,"trimer","CD4"
"CH235UCA","CH505TFv4.1 G458Y GnTI-",3,3,936.1,0.02195,"23500",0.53,NA,3.2,0.53,0,0,"trimer","CD4"
"CH235UCA_K19T","HV1301288_G458Y",3,3,34120,0.009318,"273.1",1.24,NA,67.12,1.24,1,0,"trimer","CD4"
"CH235UCA_K19T","HV1302590",3,3,70580,0.000671,"9.5",17.22,NA,72.7,17.22,1,0,"trimer","CD4"
"CH235UCA_K19T","CH505M5v4.1 SOSIP 293F",3,3,8184,0.02409,"2900",0.48,NA,40.17,0.48,1,0,"trimer","CD4"
"CH235UCA_K19T","CH505M5v4.1 G458Y SOSIP GnTI-",3,3,80480,0.008268,"102.7",1.4,NA,88.77,1.4,1,0,"trimer","CD4"
"CH235UCA_K19T","CH505TFv4.1 G458Y GnTI-",3,3,6052,0.02282,"3800",0.51,NA,6.13,0.51,0,0,"trimer","CD4"
"DH270UCA3 ","HV1302206",3,3,1460,0.00551,"3768.00",2.1,NA,3.23,2.1,0,0,"trimer","Non-CD4"
"DH270UCA3 ","HV1302209 ",3,3,2460,0.0104,"4231.00",1.11,NA,26.29,1.11,1,0,"trimer","Non-CD4"
"DH270UCA3 ","HV1302206_N442A",3,3,4130,0.0185,"4475.00",0.63,NA,7.24,0.63,0,0,"trimer","Non-CD4"
"DH270UCA3 ","HV1302212",3,3,5350,0.00262,"490.50",4.4,NA,77.91,4.4,1,0,"trimer","Non-CD4"
"DH270UCA3 ","HV1302215",3,3,7400,0.00197,"265.80",5.88,NA,39.7,5.88,1,0,"trimer","Non-CD4"
"DH270UCA3 ","HV1302212_N442A",3,3,14200,0.00492,"346.60",2.35,NA,128.28,2.35,1,0,"trimer","Non-CD4"
"CH31","eODGT8",1,4,222400,0.06843,"307.7",0.17,44.42,106.4,44.42,1,1,"tetramer","CD4"
"CH31 ","eODGT6",1,4,40470,0.2244,"5543",0.05,4.94,52.5,4.94,1,1,"tetramer","CD4"
"CH31","A244 gp120",1,4,2369,7.092e-05,"29.93",162.89,296.9,16.7,296.9,0,1,"tetramer","CD4"
"CH31 ","CH505TF gp120",1,4,11760,0.003694,"314.2",3.13,48.56,33.4,48.56,1,1,"tetramer","CD4"
"CH31 ","42c WT Core",1,4,2854,0.0002957,"103.6",39.07,975.71,52.2,975.71,1,1,"tetramer","CD4"
"CH31 ","426c degly3 Core",1,4,27960,0.7365,"26350",0.02,0.1,35.9,0.1,1,1,"tetramer","CD4"
"CH31UCA","eODGT7",1,4,6820,0.0198,"2903",0.58,29.5,3.19,29.5,0,1,"tetramer","CD4"
"CH31UCA","eODGT8",1,4,23400,0.00036,"15.34",32.13,193.12,23.23,193.12,1,1,"tetramer","CD4"
